Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname Bundesland;Abgabe
00644;20050101;20250506;150;51.7049;9.1738;Brakel;Nordrhein-Westfalen;Frei
00649;19911101;19940630;31;52.4333;12.4500;Brandenburg-Briest;Brandenburg;Frei
00652;19510101;19910630;384;49.5353;10.7706;Hagenbüchach;Bayern;Frei
00653;20050501;20250506;483;47.7241;12.1092;Brannenburg-Degerndorf;Bayern;Frei
00656;19490101;20250505;607;51.7234;10.6021;Braunlage;Niedersachsen;Frei
00657;19510101;19840331;625;51.6634;10.6690;Braunlage-Hohegeiß;Niedersachsen;Frei
00662;19501001;20250505;81;52.2915;10.4464;Braunschweig;Niedersachsen;Frei
00674;19610101;20010731;194;48.0222;7.5845;Breisach;Baden-Württemberg;Frei
00675;19800701;19880229;218;48.0333;7.6000;Breisach-Eckartsberg;Baden-Württemberg;
00677;20030421;20250506;610;48.1266;10.3649;Breitenbrunn-Fürbuch;Bayern;Frei
00684;20050621;20250506;1000;47.9385;8.0761;Breitnau;Baden-Württemberg;Frei
00685;19790101;20061102;585;49.9017;9.4281;Breitsol;Bayern;Frei
00691;19490101;20250505;4;53.0451;8.7981;Bremen;Bremen;Frei
00701;19490101;20250505;7;53.5332;8.5761;Bremerhaven;Bremen;Frei
00704;19900403;20250505;11;53.4451;9.1390;Bremervörde;Niedersachsen;Frei
00706;19790101;19920630;234;47.8858;7.6611;Eschbach;Baden-Württemberg;Frei
00710;19900518;20031231;182;49.0249;8.6990;Bretten;Baden-Württemberg;Frei
00714;20050601;20250506;46;52.3653;14.2474;Neu Madlitz;Brandenburg;Frei
00721;20040601;20250506;101;51.5171;12.4362;Schönwölkau-Brinnis;Sachsen;Frei
00722;19750701;20250505;1135;51.7986;10.6183;Brocken;Sachsen-Anhalt;Frei
00723;20041201;20250506;290;50.1841;7.2400;Kail;Rheinland-Pfalz;Frei
00728;19810201;19861231;1016;48.8171;13.2176;Brotjacklriegel (UBA);Bayern;
00730;20040911;20110120;238;49.3864;7.4567;Bruchmühlbach-Miesau/Glan;Rheinland-Pfalz;
00731;20071201;20250506;130;49.1127;8.6372;Bruchsal-Heidelsheim;Baden-Württemberg;Frei
00732;20040919;20250506;545;49.7985;7.2278;Bruchweiler, Kr. Birkenfeld;Rheinland-Pfalz;Frei
00735;20050501;20250506;53;52.1692;12.7333;Brück-Gömnigk;Brandenburg;Frei
00739;19690301;20040331;288;50.3041;9.7499;Brückenau, Bad;Bayern;Frei
00743;19790102;20010929;73;51.2000;6.1333;Brüggen (Flugplatz);Nordrhein-Westfalen;
00748;19660101;20080930;5;53.8887;9.1411;Brunsbüttel (Schleuse);Schleswig-Holstein;
00753;20040501;20250506;305;50.8700;11.5022;Bucha;Thüringen;Frei
00755;20040601;20250505;340;49.5182;9.3213;Buchen, Kr. Neckar-Odenwald;Baden-Württemberg;Frei
00757;20040601;20250505;445;47.9625;7.9983;Buchenbach;Baden-Württemberg;Frei
00760;20171201;20250505;83;53.3629;9.9435;Rosengarten-Klecken;Niedersachsen;Frei
00766;19790101;20250505;477;50.1745;7.0595;Büchel-Alflen;Rheinland-Pfalz;Frei
00769;19930301;20250505;68;52.2817;9.0890;Bückeburg;Niedersachsen;Frei
00775;20041001;20250506;100;51.9997;10.6327;Osterwieck-Rimbeck;Sachsen-Anhalt;Frei
00781;19880101;19940331;221;51.6126;8.6190;Bühren-Ahden;Nordrhein-Westfalen;
00785;19790101;19861031;1;54.1333;8.8667;Büsum (A);Schleswig-Holstein;Frei
00788;19650101;20250505;3;54.1193;8.8584;Büsum;Schleswig-Holstein;Frei
00789;20040601;20250506;263;49.6063;9.8834;Bütthard;Bayern;Frei
00791;20060101;20250506;5;54.6328;8.9370;Bordelum;Schleswig-Holstein;Frei
00796;20041101;20250506;412;50.7556;8.1257;Burbach-Würgendorf;Nordrhein-Westfalen;Frei
00797;20050801;20250506;39;52.3241;11.8339;Burg-Blumenthal;Sachsen-Anhalt;Frei
00801;20021101;20250506;331;49.4549;10.3241;Burgbernheim;Bayern;Frei
00807;20070425;20250506;290;49.7450;10.6434;Schlüsselfeld (Kläranlage);Bayern;Frei
00808;20060301;20250506;413;48.1870;12.8098;Mehring, Kr. Altötting-Niederholz;Bayern;Frei
00812;20041201;20250506;278;50.1429;11.2322;Burgkunstadt;Bayern;Frei
00814;20060108;20250506;270;50.1451;10.7066;Pfarrweisach-Lohr (Pegel);Bayern;Frei
00815;20061101;20250506;162;51.5426;11.6947;Seegebiet Mansfelder Land-Dederstedt;Sachsen-Anhalt;Frei
00817;20050201;20250505;296;51.0306;8.8146;Burgwald-Bottendorf;Hessen;Frei
00829;19830502;19970831;479;50.3960;8.5465;Butzbach-Bodenrod;Hessen;
00832;19790102;19950809;48;50.9833;6.9000;Butzweilerhof;Nordrhein-Westfalen;
00833;20230115;20250506;615;50.6951;13.4975;Neuhausen/Erzgeb.-Rauschenbach;Sachsen;
